country_name,country_ISO,strategy_id,strategy_name,sector_code,sector_name,direct_jobs,indirect_jobs,total_jobs,share_of_total_jobs
Bulgaria,BGR,Strategy_1004_BGR,AGRC: Expand conservation agriculture,A,"Agriculture, forestry and fishing",2.2406093587882783,0.004254418989670776,2.2448637777779497,0.3214957486536527
Bulgaria,BGR,Strategy_1004_BGR,AGRC: Expand conservation agriculture,B,Mining and quarrying,0.0,0.007018467801158545,0.007018467801158545,0.001005142308620837
Bulgaria,BGR,Strategy_1004_BGR,AGRC: Expand conservation agriculture,C,Manufacturing,1.4864947843729321,0.12795426000188462,1.614449044374817,0.2312115814431376
Bulgaria,BGR,Strategy_1004_BGR,AGRC: Expand conservation agriculture,D,"Electricity, gas, steam and air conditioning supply",0.0,0.0531904700974984,0.0531904700974984,0.0076176158992425375
Bulgaria,BGR,Strategy_1004_BGR,AGRC: Expand conservation agriculture,E,"Water supply; sewerage, waste management and remediation activities",0.0,0.008417360069340778,0.008417360069340778,0.0012054831584741947
Bulgaria,BGR,Strategy_1004_BGR,AGRC: Expand conservation agriculture,F,Construction,0.0,0.056232391415201685,0.056232391415201685,0.008053261385200955
Bulgaria,BGR,Strategy_1004_BGR,AGRC: Expand conservation agriculture,G,Wholesale and retail trade; repair of motor vehicles,0.0,1.6667699023973912,1.6667699023973912,0.23870465678547262
Bulgaria,BGR,Strategy_1004_BGR,AGRC: Expand conservation agriculture,H,Transportation and storage,0.0,0.18701946137485095,0.18701946137485095,0.026783790777285172
Bulgaria,BGR,Strategy_1004_BGR,AGRC: Expand conservation agriculture,I,Accommodation and food service activities,0.0,0.028376093075211654,0.028376093075211654,0.004063851614244043
Bulgaria,BGR,Strategy_1004_BGR,AGRC: Expand conservation agriculture,J,Information and communication,0.0,0.3164247346250446,0.3164247346250446,0.04531642764155048
Bulgaria,BGR,Strategy_1004_BGR,AGRC: Expand conservation agriculture,K,Financial and insurance activities,0.0,0.2770340542517502,0.2770340542517502,0.039675133767975546
Bulgaria,BGR,Strategy_1004_BGR,AGRC: Expand conservation agriculture,L,Real estate activities,0.0,0.12537199037208158,0.12537199037208158,0.01795501459993615
Bulgaria,BGR,Strategy_1004_BGR,AGRC: Expand conservation agriculture,M,"Professional, scientific and technical activities",0.0,0.25831575992169065,0.25831575992169065,0.03699441340145129
Bulgaria,BGR,Strategy_1004_BGR,AGRC: Expand conservation agriculture,N,Administrative and support services,0.0,0.06887502589190288,0.06887502589190288,0.009863862668128144
Bulgaria,BGR,Strategy_1004_BGR,AGRC: Expand conservation agriculture,O,Public administration and defence; compulsory social security,0.0,0.02802098408947214,0.02802098408947214,0.004012995063234533
Bulgaria,BGR,Strategy_1004_BGR,AGRC: Expand conservation agriculture,P,Education,0.0,0.010903323920594133,0.010903323920594133,0.0015615077945328334
Bulgaria,BGR,Strategy_1004_BGR,AGRC: Expand conservation agriculture,Q,Human health and social work activities,0.0,0.022181145633282266,0.022181145633282266,0.003176648887099268
Bulgaria,BGR,Strategy_1004_BGR,AGRC: Expand conservation agriculture,R,"Arts, entertainment and recreation",0.0,0.009097328818988318,0.009097328818988318,0.0013028641507611342
Bulgaria,BGR,Strategy_1004_BGR,AGRC: Expand conservation agriculture,S,Other service activities,0.0,0.0,0.0,0.0
Bulgaria,BGR,Strategy_1004_BGR,AGRC: Expand conservation agriculture,T,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,0.0,0.0,0.0,0.0
Belize,BLZ,Strategy_1004_BLZ,AGRC: Expand conservation agriculture,A,"Agriculture, forestry and fishing",0.002345685050049257,0.005447852440546814,0.007793537490596071,0.0025047083783255684
Belize,BLZ,Strategy_1004_BLZ,AGRC: Expand conservation agriculture,B,Mining and quarrying,0.0,0.11922298810439687,0.11922298810439687,0.03831620975127345
Belize,BLZ,Strategy_1004_BLZ,AGRC: Expand conservation agriculture,C,Manufacturing,1.797270065070383,0.02398840691597712,1.8212584719863598,0.5853210251936268
Belize,BLZ,Strategy_1004_BLZ,AGRC: Expand conservation agriculture,D,"Electricity, gas, steam and air conditioning supply",0.0,0.026493649456469898,0.026493649456469898,0.008514601468987798
Belize,BLZ,Strategy_1004_BLZ,AGRC: Expand conservation agriculture,E,"Water supply; sewerage, waste management and remediation activities",0.0,0.0001491739948316362,0.0001491739948316362,4.7941946148836376e-05
Belize,BLZ,Strategy_1004_BLZ,AGRC: Expand conservation agriculture,F,Construction,0.0,0.05287204859074026,0.05287204859074026,0.016992163474450053
Belize,BLZ,Strategy_1004_BLZ,AGRC: Expand conservation agriculture,G,Wholesale and retail trade; repair of motor vehicles,0.0,0.7522275235599839,0.7522275235599839,0.24175293734600148
Belize,BLZ,Strategy_1004_BLZ,AGRC: Expand conservation agriculture,H,Transportation and storage,0.0,0.04466566507055162,0.04466566507055162,0.01435477351083325
Belize,BLZ,Strategy_1004_BLZ,AGRC: Expand conservation agriculture,I,Accommodation and food service activities,0.0,0.116085378378955,0.116085378378955,0.03730783616267999
Belize,BLZ,Strategy_1004_BLZ,AGRC: Expand conservation agriculture,J,Information and communication,0.0,0.06294949776641094,0.06294949776641094,0.02023088163201446
Belize,BLZ,Strategy_1004_BLZ,AGRC: Expand conservation agriculture,K,Financial and insurance activities,0.0,0.01799666892407938,0.01799666892407938,0.005783818643393149
Belize,BLZ,Strategy_1004_BLZ,AGRC: Expand conservation agriculture,L,Real estate activities,0.0,0.00012233194952947454,0.00012233194952947454,3.9315376270800574e-05
Belize,BLZ,Strategy_1004_BLZ,AGRC: Expand conservation agriculture,M,"Professional, scientific and technical activities",0.0,0.07151250009391917,0.07151250009391917,0.02298288272256042
Belize,BLZ,Strategy_1004_BLZ,AGRC: Expand conservation agriculture,N,Administrative and support services,0.0,0.004850681870693697,0.004850681870693697,0.0015589253964298582
Belize,BLZ,Strategy_1004_BLZ,AGRC: Expand conservation agriculture,O,Public administration and defence; compulsory social security,0.0,0.004122685635711893,0.004122685635711893,0.0013249599768307883
Belize,BLZ,Strategy_1004_BLZ,AGRC: Expand conservation agriculture,P,Education,0.0,0.0028344736875048886,0.0028344736875048886,0.0009109509002559339
Belize,BLZ,Strategy_1004_BLZ,AGRC: Expand conservation agriculture,Q,Human health and social work activities,0.0,0.0024996934315582005,0.0024996934315582005,0.0008033583066513685
Belize,BLZ,Strategy_1004_BLZ,AGRC: Expand conservation agriculture,R,"Arts, entertainment and recreation",0.0,0.0038978752892004503,0.0038978752892004503,0.0012527098132663068
Belize,BLZ,Strategy_1004_BLZ,AGRC: Expand conservation agriculture,S,Other service activities,0.0,0.0,0.0,0.0
