Year,Total_Population_M,Working_Age_Share,Working_Age_Population_M
2022,37.3,0.665,24.804
2023,37.7,0.6632,25.003
2024,38.1,0.6614,25.2
2025,38.4,0.6596,25.33
2026,38.7,0.6579,25.459
2027,39.0,0.6561,25.587
2028,39.3,0.6543,25.713
2029,39.6,0.6525,25.839
2030,39.9,0.6507,25.964
2031,40.2,0.6489,26.087
2032,40.5,0.6471,26.209
2033,40.8,0.6454,26.331
2034,41.0,0.6436,26.386
2035,41.3,0.6418,26.506
2036,41.5,0.64,26.56
2037,41.8,0.6382,26.677
2038,42.0,0.6364,26.73
2039,42.2,0.6346,26.782
2040,42.4,0.6329,26.833
2041,42.6,0.6311,26.884
2042,42.8,0.6293,26.933
2043,43.0,0.6275,26.982
2044,43.1,0.6257,26.968
2045,43.2,0.6239,26.954
2046,43.3,0.6221,26.939
2047,43.4,0.6204,26.923
2048,43.5,0.6186,26.908
2049,43.6,0.6168,26.892
2050,43.7,0.615,26.876
