output_variable_name,transformation_code,include,include_variant,test_id_variant_suffix,comparison_id_variant,cb_function,difference_variable,multiplier,multiplier_unit,annual_change,arg1,arg2,sum,natural_multiplier_units
cb:trns:technical_savings:electrification:rail,TX:TRNS:SHIFT_FUEL_RAIL,TRUE,99,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_difference_between_two_strategies,energy_consumption_trns_rail_*_electricity,2377710,$/PJ,1,ND,99,TRUE,$0.0003/mt-km and $/pkm
cb:trns:technical_cost:fuel_switch:maritime,TX:TRNS:SHIFT_FUEL_MARITIME,TRUE,99,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_scale_variable_in_strategy,mass_distance_traveled_trns_mt_km_water_borne,-351,$/mtkm,1,ND,99,FALSE,$0.0003/tkm
cb:trns:technical_cost:electrification:hdv_vehicles,TX:TRNS:SHIFT_FUEL_MEDIUM_DUTY,TRUE,99,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_difference_between_two_strategies,vehicle_distance_traveled_trns_road_heavy_*_electricity|vehicle_distance_traveled_trns_public*electricity,-0.042,$/vkm,0.9,ND,99,FALSE,$0.042/km
cb:trns:technical_savings:electrification:hdv_vehicles,TX:TRNS:SHIFT_FUEL_MEDIUM_DUTY,TRUE,99,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_difference_between_two_strategies,vehicle_distance_traveled_trns_road_heavy_*_electricity|vehicle_distance_traveled_trns_public*electricity,0.02,$/vkm,0.9,ND,99,FALSE,$0.02/km
cb:trns:technical_cost:electrification:hdv_charger,TX:TRNS:SHIFT_FUEL_MEDIUM_DUTY,TRUE,99,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_difference_between_two_strategies,energy_consumption_trns_road_heavy_*_electricity|energy_consumption_trns_public*electricity,-3177614,$/PJ,1,ND,99,FALSE,$0.011/kwh
cb:trns:technical_cost:efficiency:electric,TX:TRNS:INC_EFFICIENCY_ELECTRIC,TRUE,99,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_difference_between_two_strategies,energy_consumption_trns_total,880000,$/PJ,1,ND,99,FALSE,$0.88M/PJ
cb:trns:technical_cost:efficiency:non_electric,TX:TRNS:INC_EFFICIENCY_NON_ELECTRIC,TRUE,99,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_fraction_change,energy_consumption_trns_total,880000,$/PJ,1,fuelefficiency_trns_road_light_gasoline_km_per_litre,0,FALSE,$0.88M/PJ
cb:trns:technical_cost:efficiency:all,TX:TRNS:INC_EFFICIENCY_NON_ELECTRIC,TRUE,99,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_fraction_change,energy_consumption_trns_total,880000,$/PJ,1,fuelefficiency_trns_road_light_gasoline_km_per_litre,0,FALSE,$0.88M/PJ
cb:scoe:technical_cost:efficiency:appliance,TX:SCOE:INC_EFFICIENCY_APPLIANCE,TRUE,99,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_difference_between_two_strategies,energy_consumption_scoe_total,5560000,$/PJ,1,ND,99,FALSE,$0.02/kwh
cb:scoe:technical_cost:fuel_switch:heat_pumps,TX:SCOE:SHIFT_FUEL_HEAT,TRUE,99,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_difference_between_two_strategies,energy_consumption_scoe_total,463333.3333,$/PJ,0.8871931,ND,99,FALSE,$5/MWh thermal demand
cb:scoe:technical_savings:fuel_switch:heat_pumps,TX:SCOE:SHIFT_FUEL_HEAT,TRUE,99,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_difference_between_two_strategies,energy_consumption_scoe_total,-83400,$/PJ,1,ND,99,FALSE,$0.90/MWh thermal demand
cb:scoe:technical_cost:efficiency:building_shell,TX:SCOE:DEC_DEMAND_HEAT,TRUE,99,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_difference_between_two_strategies,energy_consumption_scoe_total,5560000,$/PJ,1,ND,99,FALSE,$0.02/kwh
cb:entc:technical_cost:loss_reduction:electricity,TX:ENTC:DEC_LOSSES,TRUE,99,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_entc_reduce_losses,energy_consumption_inen_total,0,ND,1,ND,99,FALSE,Varies by country
cb:ippu:technical_savings:clinker:X,TX:IPPU:DEC_CLINKER,TRUE,99,ND,ND,cb_ippu_clinker,prod_ippu_cement_tonne,-47,$/ton cement,1,ND,99,FALSE,$47/ton cement
cb:ippu:technical_cost:abating_N2O_and_F_Gases:X,TX:IPPU:BUNDLE_DEC_FGAS,TRUE,99,ND,ND,cb_ippu_florinated_gases,emission_co2e_hfcs_ippu_production_electronics,63000000,$/million ton CO2e,1,ND,99,FALSE,$63/ton CO2e
cb:ippu:technical_cost:abating_gases:n2o,TX:IPPU:DEC_N2O,TRUE,99,ND,ND,cb_fraction_change,emission_co2e_n2o_ippu*,3900000000,$/million ton CO2e,1,ef_ippu_tonne_n2o_per_tonne_production_electronics,1,TRUE,$13/ton CO2e
cb:ippu:technical_cost:abating_gases:hfcs,TX:IPPU:DEC_HFCS,TRUE,99,ND,ND,cb_fraction_change,emission_co2e_hfcs_ippu_*,63000000,$/million ton CO2e,1,ef_ippu_tonne_sf6_per_tonne_production_electronics,1,FALSE,$63/ton CO2e
cb:ippu:technical_cost:abating_gases:pfcs,TX:IPPU:DEC_PFCS,TRUE,99,ND,ND,cb_fraction_change,emission_co2e_pfcs_ippu_*,63000000,$/million ton CO2e,1,ef_ippu_tonne_c4f6_per_tonne_production_electronics,1,FALSE,$63/ton CO2e
cb:ippu:technical_cost:abating_gases:other_fgases,TX:IPPU:DEC_OTHER_FCS,TRUE,99,ND,ND,cb_fraction_change,emission_co2e_other_fcs_ippu_*,63000000,$/million ton CO2e,1,ef_ippu_tonne_sf6_per_tonne_production_electronics,1,FALSE,$63/ton CO2e
cb:fgtv:technical_cost:flaring:X,TX:FGTV:INC_FLARE,TRUE,99,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_fgtv_abatement_costs,emission_co2e_subsector_total_fgtv,10000000,$/mtCO2e,1,ND,99,FALSE,$10/ton CO2e
cb:fgtv:technical_cost:leaks:X,TX:FGTV:DEC_LEAKS,TRUE,99,ND,ND,cb_fgtv_abatement_costs,emission_co2e_subsector_total_fgtv,10000000,$/mtCO2e,1,ND,99,FALSE,$10/ton CO2e
cb:waso:technical_cost:consumer_food_waste:X,TX:WASO:DEC_CONSUMER_FOOD_WASTE,TRUE,99,ND,ND,cb_waso_reduce_consumer_facing_food_waste,qty_waso_total_food_produced_tonne,100,$/ton waste avoided,1,ND,99,FALSE,"Costs are based on the average per-ton costs of consumer-facing actions to reduce food waste in the United States found in the appendix of ReFED (2016), adjusted to LAC."
cb:waso:consumer_savings:consumer_food_waste:X,TX:WASO:DEC_CONSUMER_FOOD_WASTE,TRUE,99,ND,ND,cb_waso_reduce_consumer_facing_food_waste,qty_waso_total_food_produced_tonne,-350,$/ton waste avoided,1,ND,99,FALSE,$700/ton food waste avoided
cb:ccsq:technical_cost:direct_air_capture:X,TX:CCSQ:INC_CAPTURE,TRUE,99,ND,ND,cb_difference_between_two_strategies,emission_co2e_subsector_total_ccsq,500,$/ton CO2e,0.96,ND,99,FALSE,$500/ton captured
cb:lvst:technical_cost:ent_ferm_mgmt:X,TX:LVST:DEC_ENTERIC_FERMENTATION,TRUE,99,ND,ND,cb_lvst_enteric,pop_lvst_buffalo,-40,$/head,1,ND,99,FALSE,$40/head
cb:agrc:technical_cost:rice_mgmt:X,TX:AGRC:DEC_CH4_RICE,TRUE,99,ND,ND,cb_agrc_rice_mgmt,area_agrc_crops_rice,-31,$/acre,1,ND,99,FALSE,-$31/ha rice managed
cb:agrc:technical_cost:producer_food_waste:X,TX:AGRC:DEC_LOSSES_SUPPLY_CHAIN,TRUE,99,PLUR,BASE:PLUR,cb_difference_between_two_strategies,qty_agrc_total_food_produced_lost_tonne,10,$/ton,1,ND,99,FALSE,$680/ton
cb:agrc:technical_savings:producer_food_waste:X,TX:AGRC:DEC_LOSSES_SUPPLY_CHAIN,TRUE,99,PLUR,BASE:PLUR,cb_difference_between_two_strategies,qty_agrc_total_food_produced_lost_tonne,-4.5,$/ton,1,ND,99,FALSE,$1700 saved/ton
cb:agrc:technical_cost:increase_productivity:X,TX:AGRC:INC_PRODUCTIVITY,TRUE,99,PLUR,BASE:PLUR,cb_agrc_lvst_productivity,gdp_mmm_usd,-1,$,1,ND,99,FALSE,Varies by country
cb:lvst:technical_cost:increase_productivity:X,TX:LVST:INC_PRODUCTIVITY,TRUE,99,PLUR,BASE:PLUR,cb_agrc_lvst_productivity,gdp_mmm_usd,-1,$,1,ND,99,FALSE,Varies by country
cb:pflo:human_health:better_diets:X,TX:PFLO:INC_HEALTHIER_DIETS,TRUE,99,PLUR,BASE:PLUR,cb_pflo_healthier_diets,population_gnrl_urban,350,$/person with better diet,1,ND,99,FALSE,$3500/person
cb:pflo:consumer_savings:better_diets:X,TX:PFLO:INC_HEALTHIER_DIETS,TRUE,99,PLUR,BASE:PLUR,cb_pflo_healthier_diets,population_gnrl_urban,385,$/person with better diet,1,ND,99,FALSE,$385/person
cb:lndu:technical_cost:rehabilitate_forests:X,TX:LNDU:INC_LAND_REHABILITIATION,FALSE,99,ND,ND,cb_difference_between_two_strategies,area_lndu_forests_secondary,-45,$/ha,1,ND,99,FALSE,$650/hectare over 15 years
cb:lndu:technical_cost:silvopasture:X,TX:LNDU:INC_SILVOPASTURE,TRUE,99,PLUR,BASE:PLUR,cb_difference_between_two_strategies,area_lndu_forests_secondary,-135,$/ha,1,ND,99,FALSE,$650/hectare over 15 years
cb:lndu:technical_cost:all_secondary_forests:X,TX:LNDU:INC_REFORESTATION,TRUE,99,PLUR,BASE:PLUR,cb_difference_between_two_strategies,area_lndu_forests_secondary,-820,$/ha,1,ND,99,FALSE,$650/hectare over 15 years
cb:ippu:technical_cost:industrial_ccs:X,TX:PFLO:INC_IND_CCS,TRUE,99,ND,ND,cb_ippu_inen_ccs,prod_ippu_cement_tonne,0,$/tonne,0,ND,99,FALSE,Varies by industry
cb:agrc:consumer_savings:cons_ag_land_value:X,TX:AGRC:INC_CONSERVATION_AGRICULTURE,TRUE,99,ND,ND,cb_difference_between_two_strategies,area_lndu_improved_croplands,350,$/ha,1,ND,99,FALSE,$350/hectare
cb:agrc:technical_savings:cons_ag:X,TX:AGRC:INC_CONSERVATION_AGRICULTURE,TRUE,99,ND,ND,cb_difference_between_two_strategies,area_lndu_improved_croplands,41,$/ha,1,ND,99,FALSE,$41/hectare
cb:lsmm:technical_cost:manure_management,TX:LSMM:INC_MANAGEMENT_CATTLE_PIGS,TRUE,99,ND,ND,cb_manure_management_cost,lvst_total_tlu,10,$/TLU,1,ND,99,FALSE,$10/TLU
