output_variable_name,transformation_code,include,include_variant,test_id_variant_suffix,comparison_id_variant,cb_function,difference_variable,multiplier,multiplier_unit,annual_change,arg1,arg2,sum,natural_multiplier_units
cb:inen:technical_cost:fuel_switch:lo_heat,TX:INEN:SHIFT_FUEL_HEAT,TRUE,0,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_difference_between_two_strategies,energy_consumption_inen_total,463333,$/PJ,0.8871931,ND,99,FALSE,$5/MWh thermal demand
cb:inen:technical_savings:fuel_switch:lo_heat,TX:INEN:SHIFT_FUEL_HEAT,TRUE,0,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_difference_between_two_strategies,energy_consumption_inen_total,-83400,$/PJ,1,ND,99,FALSE,$0.90/MWh thermal demand
cb:inen:technical_cost:fuel_switch:hi_heat,TX:INEN:SHIFT_FUEL_HEAT,TRUE,99,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_difference_between_two_strategies,energy_consumption_inen_total,1390000,$/PJ,1,ND,99,FALSE,$15/mwh
cb:inen:technical_savings:fuel_switch:hi_heat,TX:INEN:SHIFT_FUEL_HEAT,TRUE,99,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_difference_between_two_strategies,energy_consumption_inen_total,-83400,$/PJ,1,ND,99,FALSE,$0.90/MWh thermal demand
cb:inen:technical_cost:fuel_switch:all,TX:INEN:SHIFT_FUEL_HEAT,TRUE,0,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_difference_between_two_strategies,energy_consumption_inen_total,649000,$/PJ,0.8871931,ND,99,FALSE,$7/MWh thermal
cb:inen:technical_savings:fuel_switch:all,TX:INEN:SHIFT_FUEL_HEAT,TRUE,0,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_difference_between_two_strategies,energy_consumption_inen_total,-83400,$/PJ,1,ND,99,FALSE,$0.90/MWh thermal demand
cb:inen:technical_cost:efficiency:X,TX:INEN:INC_EFFICIENCY_ENERGY,TRUE,99,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_difference_between_two_strategies,energy_consumption_inen_total,10000000,$/PJ,1,ND,99,FALSE,$10/GJ
cb:trns:technical_cost:electrification:LDV,TX:TRNS:SHIFT_FUEL_LIGHT_DUTY,TRUE,99,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_difference_between_two_strategies,vehicle_distance_traveled_trns_road_light_electricity,-0.039,$/vkm,0.9,ND,99,FALSE,$0.039/km
cb:trns:technical_savings:electrification:LDV,TX:TRNS:SHIFT_FUEL_LIGHT_DUTY,TRUE,99,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_difference_between_two_strategies,vehicle_distance_traveled_trns_road_light_electricity,0.012,$/vkm,1,ND,99,FALSE,$0.012/km
cb:trns:technical_cost:electrification:rail,TX:TRNS:SHIFT_FUEL_RAIL,TRUE,99,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_difference_between_two_strategies,energy_consumption_trns_rail_*_electricity,-422400000,$/PJ,1,ND,99,TRUE,$0.0025/mt-km and /pkm
