Economic Sector,Ssp Sector,Total Jobs
Wood and Paper,Wastewater treatment,0.1741
Wholesale Trade,Wastewater treatment,0.7342
Transport Equipment,Wastewater treatment,0.0652
Transport,Wastewater treatment,0.5472
Textiles and Wearing Apparel,Wastewater treatment,0.0024
Retail Trade,Wastewater treatment,0.1597
Recycling,Wastewater treatment,0.0034
Re-export & Re-import,Wastewater treatment,0
Public Administration,Wastewater treatment,0.0026
Private Households,Wastewater treatment,0
Post and Telecommunications,Wastewater treatment,0.1999
"Petroleum, Chemical and Non-Metallic Mineral Products",Wastewater treatment,0.3275
Others,Wastewater treatment,0.0118
Other Manufacturing,Wastewater treatment,0.0537
Mining and Quarrying,Wastewater treatment,0.0894
Metal Products,Wastewater treatment,0.5347
Maintenance and Repair,Wastewater treatment,0.0178
Hotels and Restaurants,Wastewater treatment,0.0586
Food & Beverages,Wastewater treatment,0.0028
Fishing,Wastewater treatment,0.0012
Financial Intermediation and Business Activities,Wastewater treatment,0.886
"Electricity, Gas and Water",Wastewater treatment,1.9737
Electrical and Machinery,Wastewater treatment,3.4776
"Education, Health and Other Services",Wastewater treatment,2.4222
Construction,Wastewater treatment,2.1077
Agriculture,Wastewater treatment,0.0365
Wood and Paper,Transportation,1.0231
Wholesale Trade,Transportation,4.5749
Transport Equipment,Transportation,0.3937
Transport,Transportation,1.5376
Textiles and Wearing Apparel,Transportation,0.0155
Retail Trade,Transportation,0.456
Recycling,Transportation,0.0166
Re-export & Re-import,Transportation,0
Public Administration,Transportation,0.0142
Private Households,Transportation,0
Post and Telecommunications,Transportation,2.196
"Petroleum, Chemical and Non-Metallic Mineral Products",Transportation,5.588
Others,Transportation,0.0613
Other Manufacturing,Transportation,1.923
Mining and Quarrying,Transportation,0.1584
Metal Products,Transportation,5.4193
Maintenance and Repair,Transportation,0.0997
Hotels and Restaurants,Transportation,0.2031
Food & Beverages,Transportation,0.0142
Fishing,Transportation,0.0128
Financial Intermediation and Business Activities,Transportation,4.1063
"Electricity, Gas and Water",Transportation,1.0557
Electrical and Machinery,Transportation,23.9606
"Education, Health and Other Services",Transportation,0.2175
Construction,Transportation,1.9967
Agriculture,Transportation,0.3407
Wood and Paper,Solid Waste,0.6262
Wholesale Trade,Solid Waste,2.1508
Transport Equipment,Solid Waste,0.1885
Transport,Solid Waste,2.9646
Textiles and Wearing Apparel,Solid Waste,0.0075
Retail Trade,Solid Waste,0.4582
Recycling,Solid Waste,0.922
Re-export & Re-import,Solid Waste,0
Public Administration,Solid Waste,0.6582
Private Households,Solid Waste,0.0001
Post and Telecommunications,Solid Waste,1.9665
"Petroleum, Chemical and Non-Metallic Mineral Products",Solid Waste,1.9707
Others,Solid Waste,0.037
Other Manufacturing,Solid Waste,0.2844
Mining and Quarrying,Solid Waste,0.4031
Metal Products,Solid Waste,1.919
