"","Country","Strategy_id","Strategy","Sector","Direct_Jobs","Indirect_Jobs","Total_Jobs","Total_Jobs_distribution","ssp_sector","ssp_transformation_name"
"6993","MAR",1004,"AGRC: Expand conservation agriculture","Wholesale Trade",0,0.3078,0.3078,0.0641,"AGRC"," Expand conservation agriculture"
"6994","MAR",1004,"AGRC: Expand conservation agriculture","Wood and Paper",0,0.0724,0.0724,0.0151,"AGRC"," Expand conservation agriculture"
"6995","MAR",1005,"AGRC: Improve crop productivity","Agriculture",1.265,0.012,1.2771,0.2356,"AGRC"," Improve crop productivity"
"6996","MAR",1005,"AGRC: Improve crop productivity","Construction",0,0.0442,0.0442,0.0082,"AGRC"," Improve crop productivity"
"6997","MAR",1005,"AGRC: Improve crop productivity","Education, Health and Other Services",0,0.0192,0.0192,0.0035,"AGRC"," Improve crop productivity"
"6998","MAR",1005,"AGRC: Improve crop productivity","Electrical and Machinery",1.8805,0.0115,1.892,0.3491,"AGRC"," Improve crop productivity"
"6999","MAR",1005,"AGRC: Improve crop productivity","Electricity, Gas and Water",0,0.0831,0.0831,0.0153,"AGRC"," Improve crop productivity"
"7000","MAR",1005,"AGRC: Improve crop productivity","Financial Intermediation and Business Activities",0,0.3565,0.3565,0.0658,"AGRC"," Improve crop productivity"
"7001","MAR",1005,"AGRC: Improve crop productivity","Fishing",0,0.0012,0.0012,2e-04,"AGRC"," Improve crop productivity"
"7002","MAR",1005,"AGRC: Improve crop productivity","Food & Beverages",0,0.0056,0.0056,0.001,"AGRC"," Improve crop productivity"
"7003","MAR",1005,"AGRC: Improve crop productivity","Hotels and Restaurants",0,0.0156,0.0156,0.0029,"AGRC"," Improve crop productivity"
"7004","MAR",1005,"AGRC: Improve crop productivity","Maintenance and Repair",0,0.0083,0.0083,0.0015,"AGRC"," Improve crop productivity"
"7005","MAR",1005,"AGRC: Improve crop productivity","Metal Products",0,0.2349,0.2349,0.0433,"AGRC"," Improve crop productivity"
"7006","MAR",1005,"AGRC: Improve crop productivity","Mining and Quarrying",0,0.0147,0.0147,0.0027,"AGRC"," Improve crop productivity"
"7007","MAR",1005,"AGRC: Improve crop productivity","Other Manufacturing",0,0.0143,0.0143,0.0026,"AGRC"," Improve crop productivity"
"7008","MAR",1005,"AGRC: Improve crop productivity","Others",0,0.0049,0.0049,9e-04,"AGRC"," Improve crop productivity"
"7009","MAR",1005,"AGRC: Improve crop productivity","Petroleum, Chemical and Non-Metallic Mineral Products",0.4965,0.1068,0.6033,0.1113,"AGRC"," Improve crop productivity"
"7010","MAR",1005,"AGRC: Improve crop productivity","Post and Telecommunications",0,0.0748,0.0748,0.0138,"AGRC"," Improve crop productivity"
"7011","MAR",1005,"AGRC: Improve crop productivity","Private Households",0,0,0,0,"AGRC"," Improve crop productivity"
"7012","MAR",1005,"AGRC: Improve crop productivity","Public Administration",0,0.0013,0.0013,2e-04,"AGRC"," Improve crop productivity"
"7013","MAR",1005,"AGRC: Improve crop productivity","Re-export & Re-import",0,0,0,0,"AGRC"," Improve crop productivity"
"7014","MAR",1005,"AGRC: Improve crop productivity","Recycling",0,9e-04,9e-04,2e-04,"AGRC"," Improve crop productivity"
"7015","MAR",1005,"AGRC: Improve crop productivity","Retail Trade",0,0.0319,0.0319,0.0059,"AGRC"," Improve crop productivity"
"7016","MAR",1005,"AGRC: Improve crop productivity","Textiles and Wearing Apparel",0,0.0012,0.0012,2e-04,"AGRC"," Improve crop productivity"
"7017","MAR",1005,"AGRC: Improve crop productivity","Transport",0.1726,0.0975,0.27,0.0498,"AGRC"," Improve crop productivity"
"7018","MAR",1005,"AGRC: Improve crop productivity","Transport Equipment",0,0.0294,0.0294,0.0054,"AGRC"," Improve crop productivity"
"7019","MAR",1005,"AGRC: Improve crop productivity","Wholesale Trade",0,0.3671,0.3671,0.0677,"AGRC"," Improve crop productivity"
"7020","MAR",1005,"AGRC: Improve crop productivity","Wood and Paper",0,0.0677,0.0677,0.0125,"AGRC"," Improve crop productivity"
"7021","MAR",1006,"AGRC: Improve crop productivity with partial land use reallocation","Agriculture",1.265,0.012,1.2771,0.2356,"AGRC"," Improve crop productivity with partial land use reallocation"
"7022","MAR",1006,"AGRC: Improve crop productivity with partial land use reallocation","Construction",0,0.0442,0.0442,0.0082,"AGRC"," Improve crop productivity with partial land use reallocation"
"7023","MAR",1006,"AGRC: Improve crop productivity with partial land use reallocation","Education, Health and Other Services",0,0.0192,0.0192,0.0035,"AGRC"," Improve crop productivity with partial land use reallocation"
"7024","MAR",1006,"AGRC: Improve crop productivity with partial land use reallocation","Electrical and Machinery",1.8805,0.0115,1.892,0.3491,"AGRC"," Improve crop productivity with partial land use reallocation"
"7025","MAR",1006,"AGRC: Improve crop productivity with partial land use reallocation","Electricity, Gas and Water",0,0.0831,0.0831,0.0153,"AGRC"," Improve crop productivity with partial land use reallocation"
"7026","MAR",1006,"AGRC: Improve crop productivity with partial land use reallocation","Financial Intermediation and Business Activities",0,0.3565,0.3565,0.0658,"AGRC"," Improve crop productivity with partial land use reallocation"
"7027","MAR",1006,"AGRC: Improve crop productivity with partial land use reallocation","Fishing",0,0.0012,0.0012,2e-04,"AGRC"," Improve crop productivity with partial land use reallocation"
"7028","MAR",1006,"AGRC: Improve crop productivity with partial land use reallocation","Food & Beverages",0,0.0056,0.0056,0.001,"AGRC"," Improve crop productivity with partial land use reallocation"
"7029","MAR",1006,"AGRC: Improve crop productivity with partial land use reallocation","Hotels and Restaurants",0,0.0156,0.0156,0.0029,"AGRC"," Improve crop productivity with partial land use reallocation"
"7030","MAR",1006,"AGRC: Improve crop productivity with partial land use reallocation","Maintenance and Repair",0,0.0083,0.0083,0.0015,"AGRC"," Improve crop productivity with partial land use reallocation"
"7031","MAR",1006,"AGRC: Improve crop productivity with partial land use reallocation","Metal Products",0,0.2349,0.2349,0.0433,"AGRC"," Improve crop productivity with partial land use reallocation"
"7032","MAR",1006,"AGRC: Improve crop productivity with partial land use reallocation","Mining and Quarrying",0,0.0147,0.0147,0.0027,"AGRC"," Improve crop productivity with partial land use reallocation"
"7033","MAR",1006,"AGRC: Improve crop productivity with partial land use reallocation","Other Manufacturing",0,0.0143,0.0143,0.0026,"AGRC"," Improve crop productivity with partial land use reallocation"
"7034","MAR",1006,"AGRC: Improve crop productivity with partial land use reallocation","Others",0,0.0049,0.0049,9e-04,"AGRC"," Improve crop productivity with partial land use reallocation"
"7035","MAR",1006,"AGRC: Improve crop productivity with partial land use reallocation","Petroleum, Chemical and Non-Metallic Mineral Products",0.4965,0.1068,0.6033,0.1113,"AGRC"," Improve crop productivity with partial land use reallocation"
"7036","MAR",1006,"AGRC: Improve crop productivity with partial land use reallocation","Post and Telecommunications",0,0.0748,0.0748,0.0138,"AGRC"," Improve crop productivity with partial land use reallocation"
"7037","MAR",1006,"AGRC: Improve crop productivity with partial land use reallocation","Private Households",0,0,0,0,"AGRC"," Improve crop productivity with partial land use reallocation"
"7038","MAR",1006,"AGRC: Improve crop productivity with partial land use reallocation","Public Administration",0,0.0013,0.0013,2e-04,"AGRC"," Improve crop productivity with partial land use reallocation"
"7039","MAR",1006,"AGRC: Improve crop productivity with partial land use reallocation","Re-export & Re-import",0,0,0,0,"AGRC"," Improve crop productivity with partial land use reallocation"
"7040","MAR",1006,"AGRC: Improve crop productivity with partial land use reallocation","Recycling",0,9e-04,9e-04,2e-04,"AGRC"," Improve crop productivity with partial land use reallocation"
"7041","MAR",1006,"AGRC: Improve crop productivity with partial land use reallocation","Retail Trade",0,0.0319,0.0319,0.0059,"AGRC"," Improve crop productivity with partial land use reallocation"
"7042","MAR",1006,"AGRC: Improve crop productivity with partial land use reallocation","Textiles and Wearing Apparel",0,0.0012,0.0012,2e-04,"AGRC"," Improve crop productivity with partial land use reallocation"
"7043","MAR",1006,"AGRC: Improve crop productivity with partial land use reallocation","Transport",0.1726,0.0975,0.27,0.0498,"AGRC"," Improve crop productivity with partial land use reallocation"
"7044","MAR",1006,"AGRC: Improve crop productivity with partial land use reallocation","Transport Equipment",0,0.0294,0.0294,0.0054,"AGRC"," Improve crop productivity with partial land use reallocation"
"7045","MAR",1006,"AGRC: Improve crop productivity with partial land use reallocation","Wholesale Trade",0,0.3671,0.3671,0.0677,"AGRC"," Improve crop productivity with partial land use reallocation"
"7046","MAR",1006,"AGRC: Improve crop productivity with partial land use reallocation","Wood and Paper",0,0.0677,0.0677,0.0125,"AGRC"," Improve crop productivity with partial land use reallocation"
"7047","MAR",1007,"AGRC: Improve rice management","Agriculture",1.4272,0.0167,1.4439,0.3064,"AGRC"," Improve rice management"
"7048","MAR",1007,"AGRC: Improve rice management","Construction",0,0.0483,0.0483,0.0103,"AGRC"," Improve rice management"
"7049","MAR",1007,"AGRC: Improve rice management","Education, Health and Other Services",0,0.0192,0.0192,0.0041,"AGRC"," Improve rice management"
"7050","MAR",1007,"AGRC: Improve rice management","Electrical and Machinery",0.5963,0.0259,0.6221,0.132,"AGRC"," Improve rice management"
"7051","MAR",1007,"AGRC: Improve rice management","Electricity, Gas and Water",0,0.1046,0.1046,0.0222,"AGRC"," Improve rice management"
"7052","MAR",1007,"AGRC: Improve rice management","Financial Intermediation and Business Activities",0,0.3313,0.3313,0.0703,"AGRC"," Improve rice management"
"7053","MAR",1007,"AGRC: Improve rice management","Fishing",0,0.0014,0.0014,3e-04,"AGRC"," Improve rice management"
"7054","MAR",1007,"AGRC: Improve rice management","Food & Beverages",0,0.0069,0.0069,0.0015,"AGRC"," Improve rice management"
"7055","MAR",1007,"AGRC: Improve rice management","Hotels and Restaurants",0,0.0147,0.0147,0.0031,"AGRC"," Improve rice management"
"7056","MAR",1007,"AGRC: Improve rice management","Maintenance and Repair",0,0.0071,0.0071,0.0015,"AGRC"," Improve rice management"
"7057","MAR",1007,"AGRC: Improve rice management","Metal Products",0,0.1114,0.1114,0.0236,"AGRC"," Improve rice management"
"7058","MAR",1007,"AGRC: Improve rice management","Mining and Quarrying",0,0.028,0.028,0.0059,"AGRC"," Improve rice management"
"7059","MAR",1007,"AGRC: Improve rice management","Other Manufacturing",0,0.0102,0.0102,0.0022,"AGRC"," Improve rice management"
"7060","MAR",1007,"AGRC: Improve rice management","Others",0,0.0039,0.0039,8e-04,"AGRC"," Improve rice management"
"7061","MAR",1007,"AGRC: Improve rice management","Petroleum, Chemical and Non-Metallic Mineral Products",1.3343,0.0462,1.3806,0.293,"AGRC"," Improve rice management"
"7062","MAR",1007,"AGRC: Improve rice management","Post and Telecommunications",0,0.0501,0.0501,0.0106,"AGRC"," Improve rice management"
"7063","MAR",1007,"AGRC: Improve rice management","Private Households",0,0,0,0,"AGRC"," Improve rice management"
"7064","MAR",1007,"AGRC: Improve rice management","Public Administration",0,0.0013,0.0013,3e-04,"AGRC"," Improve rice management"
"7065","MAR",1007,"AGRC: Improve rice management","Re-export & Re-import",0,0,0,0,"AGRC"," Improve rice management"
"7066","MAR",1007,"AGRC: Improve rice management","Recycling",0,0.001,0.001,2e-04,"AGRC"," Improve rice management"
"7067","MAR",1007,"AGRC: Improve rice management","Retail Trade",0,0.0302,0.0302,0.0064,"AGRC"," Improve rice management"
"7068","MAR",1007,"AGRC: Improve rice management","Textiles and Wearing Apparel",0,0.001,0.001,2e-04,"AGRC"," Improve rice management"
"7069","MAR",1007,"AGRC: Improve rice management","Transport",0,0.108,0.108,0.0229,"AGRC"," Improve rice management"
"7070","MAR",1007,"AGRC: Improve rice management","Transport Equipment",0,0.0151,0.0151,0.0032,"AGRC"," Improve rice management"
"7071","MAR",1007,"AGRC: Improve rice management","Wholesale Trade",0,0.2985,0.2985,0.0634,"AGRC"," Improve rice management"
"7072","MAR",1007,"AGRC: Improve rice management","Wood and Paper",0,0.0734,0.0734,0.0156,"AGRC"," Improve rice management"
"7073","MAR",1010,"FRST: Stop deforestation","Agriculture",3.2437,0,3.2437,0.895,"FRST"," Stop deforestation"
"7074","MAR",1010,"FRST: Stop deforestation","Construction",0,0.0111,0.0111,0.0031,"FRST"," Stop deforestation"
"7075","MAR",1010,"FRST: Stop deforestation","Education, Health and Other Services",0,0.0094,0.0094,0.0026,"FRST"," Stop deforestation"
"7076","MAR",1010,"FRST: Stop deforestation","Electrical and Machinery",0,0.0051,0.0051,0.0014,"FRST"," Stop deforestation"
"7077","MAR",1010,"FRST: Stop deforestation","Electricity, Gas and Water",0,0.0194,0.0194,0.0053,"FRST"," Stop deforestation"
"7078","MAR",1010,"FRST: Stop deforestation","Financial Intermediation and Business Activities",0,0.1148,0.1148,0.0317,"FRST"," Stop deforestation"
"7079","MAR",1010,"FRST: Stop deforestation","Fishing",0,0.0021,0.0021,6e-04,"FRST"," Stop deforestation"
"7080","MAR",1010,"FRST: Stop deforestation","Food & Beverages",0,0.0116,0.0116,0.0032,"FRST"," Stop deforestation"
"7081","MAR",1010,"FRST: Stop deforestation","Hotels and Restaurants",0,0.0024,0.0024,7e-04,"FRST"," Stop deforestation"
"7082","MAR",1010,"FRST: Stop deforestation","Maintenance and Repair",0,0.0027,0.0027,7e-04,"FRST"," Stop deforestation"
"7083","MAR",1010,"FRST: Stop deforestation","Metal Products",0,0.0073,0.0073,0.002,"FRST"," Stop deforestation"
"7084","MAR",1010,"FRST: Stop deforestation","Mining and Quarrying",0,0.0022,0.0022,6e-04,"FRST"," Stop deforestation"
"7085","MAR",1010,"FRST: Stop deforestation","Other Manufacturing",0,0.0019,0.0019,5e-04,"FRST"," Stop deforestation"
"7086","MAR",1010,"FRST: Stop deforestation","Others",0,0.0012,0.0012,3e-04,"FRST"," Stop deforestation"
"7087","MAR",1010,"FRST: Stop deforestation","Petroleum, Chemical and Non-Metallic Mineral Products",0,0.0426,0.0426,0.0118,"FRST"," Stop deforestation"
"7088","MAR",1010,"FRST: Stop deforestation","Post and Telecommunications",0,0.0083,0.0083,0.0023,"FRST"," Stop deforestation"
"7089","MAR",1010,"FRST: Stop deforestation","Private Households",0,0,0,0,"FRST"," Stop deforestation"
"7090","MAR",1010,"FRST: Stop deforestation","Public Administration",0,6e-04,6e-04,2e-04,"FRST"," Stop deforestation"
"7091","MAR",1010,"FRST: Stop deforestation","Re-export & Re-import",0,0,0,0,"FRST"," Stop deforestation"
"7092","MAR",1010,"FRST: Stop deforestation","Recycling",0,1e-04,1e-04,0,"FRST"," Stop deforestation"
"7093","MAR",1010,"FRST: Stop deforestation","Retail Trade",0,0.011,0.011,0.003,"FRST"," Stop deforestation"
"7094","MAR",1010,"FRST: Stop deforestation","Textiles and Wearing Apparel",0,2e-04,2e-04,1e-04,"FRST"," Stop deforestation"
"7095","MAR",1010,"FRST: Stop deforestation","Transport",0,0.0324,0.0324,0.0089,"FRST"," Stop deforestation"
"7096","MAR",1010,"FRST: Stop deforestation","Transport Equipment",0,0.0015,0.0015,4e-04,"FRST"," Stop deforestation"
"7097","MAR",1010,"FRST: Stop deforestation","Wholesale Trade",0,0.0753,0.0753,0.0208,"FRST"," Stop deforestation"
"7098","MAR",1010,"FRST: Stop deforestation","Wood and Paper",0,0.017,0.017,0.0047,"FRST"," Stop deforestation"
"7099","MAR",1011,"LNDU: Expand silvopasture","Agriculture",1.4272,0.0159,1.4431,0.3005,"LNDU"," Expand silvopasture"
"7100","MAR",1011,"LNDU: Expand silvopasture","Construction",0,0.0475,0.0475,0.0099,"LNDU"," Expand silvopasture"
"7101","MAR",1011,"LNDU: Expand silvopasture","Education, Health and Other Services",0,0.0191,0.0191,0.004,"LNDU"," Expand silvopasture"
"7102","MAR",1011,"LNDU: Expand silvopasture","Electrical and Machinery",0.7797,0.0237,0.8034,0.1673,"LNDU"," Expand silvopasture"
"7103","MAR",1011,"LNDU: Expand silvopasture","Electricity, Gas and Water",0,0.1012,0.1012,0.0211,"LNDU"," Expand silvopasture"
"7104","MAR",1011,"LNDU: Expand silvopasture","Financial Intermediation and Business Activities",0,0.3332,0.3332,0.0694,"LNDU"," Expand silvopasture"
"7105","MAR",1011,"LNDU: Expand silvopasture","Fishing",0,0.0014,0.0014,3e-04,"LNDU"," Expand silvopasture"
"7106","MAR",1011,"LNDU: Expand silvopasture","Food & Beverages",0,0.0068,0.0068,0.0014,"LNDU"," Expand silvopasture"
"7107","MAR",1011,"LNDU: Expand silvopasture","Hotels and Restaurants",0,0.0147,0.0147,0.0031,"LNDU"," Expand silvopasture"
"7108","MAR",1011,"LNDU: Expand silvopasture","Maintenance and Repair",0,0.0073,0.0073,0.0015,"LNDU"," Expand silvopasture"
"7109","MAR",1011,"LNDU: Expand silvopasture","Metal Products",0,0.1288,0.1288,0.0268,"LNDU"," Expand silvopasture"
"7110","MAR",1011,"LNDU: Expand silvopasture","Mining and Quarrying",0,0.026,0.026,0.0054,"LNDU"," Expand silvopasture"
"7111","MAR",1011,"LNDU: Expand silvopasture","Other Manufacturing",0,0.0108,0.0108,0.0022,"LNDU"," Expand silvopasture"
"7112","MAR",1011,"LNDU: Expand silvopasture","Others",0,0.004,0.004,8e-04,"LNDU"," Expand silvopasture"
"7113","MAR",1011,"LNDU: Expand silvopasture","Petroleum, Chemical and Non-Metallic Mineral Products",1.2102,0.0547,1.2649,0.2634,"LNDU"," Expand silvopasture"
"7114","MAR",1011,"LNDU: Expand silvopasture","Post and Telecommunications",0,0.0531,0.0531,0.011,"LNDU"," Expand silvopasture"
"7115","MAR",1011,"LNDU: Expand silvopasture","Private Households",0,0,0,0,"LNDU"," Expand silvopasture"
"7116","MAR",1011,"LNDU: Expand silvopasture","Public Administration",0,0.0013,0.0013,3e-04,"LNDU"," Expand silvopasture"
"7117","MAR",1011,"LNDU: Expand silvopasture","Re-export & Re-import",0,0,0,0,"LNDU"," Expand silvopasture"
"7118","MAR",1011,"LNDU: Expand silvopasture","Recycling",0,0.001,0.001,2e-04,"LNDU"," Expand silvopasture"
"7119","MAR",1011,"LNDU: Expand silvopasture","Retail Trade",0,0.0302,0.0302,0.0063,"LNDU"," Expand silvopasture"
"7120","MAR",1011,"LNDU: Expand silvopasture","Textiles and Wearing Apparel",0,0.001,0.001,2e-04,"LNDU"," Expand silvopasture"
"7121","MAR",1011,"LNDU: Expand silvopasture","Transport",0,0.1065,0.1065,0.0222,"LNDU"," Expand silvopasture"
"7122","MAR",1011,"LNDU: Expand silvopasture","Transport Equipment",0,0.017,0.017,0.0035,"LNDU"," Expand silvopasture"
"7123","MAR",1011,"LNDU: Expand silvopasture","Wholesale Trade",0,0.3078,0.3078,0.0641,"LNDU"," Expand silvopasture"
"7124","MAR",1011,"LNDU: Expand silvopasture","Wood and Paper",0,0.0724,0.0724,0.0151,"LNDU"," Expand silvopasture"
"7125","MAR",1013,"LNDU: Expand sustainable grazing practices","Agriculture",1.4272,0.0159,1.4431,0.3005,"LNDU"," Expand sustainable grazing practices"
"7126","MAR",1013,"LNDU: Expand sustainable grazing practices","Construction",0,0.0475,0.0475,0.0099,"LNDU"," Expand sustainable grazing practices"
"7127","MAR",1013,"LNDU: Expand sustainable grazing practices","Education, Health and Other Services",0,0.0191,0.0191,0.004,"LNDU"," Expand sustainable grazing practices"
"7128","MAR",1013,"LNDU: Expand sustainable grazing practices","Electrical and Machinery",0.7797,0.0237,0.8034,0.1673,"LNDU"," Expand sustainable grazing practices"
"7129","MAR",1013,"LNDU: Expand sustainable grazing practices","Electricity, Gas and Water",0,0.1012,0.1012,0.0211,"LNDU"," Expand sustainable grazing practices"
"7130","MAR",1013,"LNDU: Expand sustainable grazing practices","Financial Intermediation and Business Activities",0,0.3332,0.3332,0.0694,"LNDU"," Expand sustainable grazing practices"
"7131","MAR",1013,"LNDU: Expand sustainable grazing practices","Fishing",0,0.0014,0.0014,3e-04,"LNDU"," Expand sustainable grazing practices"
"7132","MAR",1013,"LNDU: Expand sustainable grazing practices","Food & Beverages",0,0.0068,0.0068,0.0014,"LNDU"," Expand sustainable grazing practices"
"7133","MAR",1013,"LNDU: Expand sustainable grazing practices","Hotels and Restaurants",0,0.0147,0.0147,0.0031,"LNDU"," Expand sustainable grazing practices"
"7134","MAR",1013,"LNDU: Expand sustainable grazing practices","Maintenance and Repair",0,0.0073,0.0073,0.0015,"LNDU"," Expand sustainable grazing practices"
"7135","MAR",1013,"LNDU: Expand sustainable grazing practices","Metal Products",0,0.1288,0.1288,0.0268,"LNDU"," Expand sustainable grazing practices"
"7136","MAR",1013,"LNDU: Expand sustainable grazing practices","Mining and Quarrying",0,0.026,0.026,0.0054,"LNDU"," Expand sustainable grazing practices"
"7137","MAR",1013,"LNDU: Expand sustainable grazing practices","Other Manufacturing",0,0.0108,0.0108,0.0022,"LNDU"," Expand sustainable grazing practices"
"7138","MAR",1013,"LNDU: Expand sustainable grazing practices","Others",0,0.004,0.004,8e-04,"LNDU"," Expand sustainable grazing practices"
"7139","MAR",1013,"LNDU: Expand sustainable grazing practices","Petroleum, Chemical and Non-Metallic Mineral Products",1.2102,0.0547,1.2649,0.2634,"LNDU"," Expand sustainable grazing practices"
"7140","MAR",1013,"LNDU: Expand sustainable grazing practices","Post and Telecommunications",0,0.0531,0.0531,0.011,"LNDU"," Expand sustainable grazing practices"
"7141","MAR",1013,"LNDU: Expand sustainable grazing practices","Private Households",0,0,0,0,"LNDU"," Expand sustainable grazing practices"
"7142","MAR",1013,"LNDU: Expand sustainable grazing practices","Public Administration",0,0.0013,0.0013,3e-04,"LNDU"," Expand sustainable grazing practices"
"7143","MAR",1013,"LNDU: Expand sustainable grazing practices","Re-export & Re-import",0,0,0,0,"LNDU"," Expand sustainable grazing practices"
"7144","MAR",1013,"LNDU: Expand sustainable grazing practices","Recycling",0,0.001,0.001,2e-04,"LNDU"," Expand sustainable grazing practices"
"7145","MAR",1013,"LNDU: Expand sustainable grazing practices","Retail Trade",0,0.0302,0.0302,0.0063,"LNDU"," Expand sustainable grazing practices"
"7146","MAR",1013,"LNDU: Expand sustainable grazing practices","Textiles and Wearing Apparel",0,0.001,0.001,2e-04,"LNDU"," Expand sustainable grazing practices"
"7147","MAR",1013,"LNDU: Expand sustainable grazing practices","Transport",0,0.1065,0.1065,0.0222,"LNDU"," Expand sustainable grazing practices"
"7148","MAR",1013,"LNDU: Expand sustainable grazing practices","Transport Equipment",0,0.017,0.017,0.0035,"LNDU"," Expand sustainable grazing practices"
"7149","MAR",1013,"LNDU: Expand sustainable grazing practices","Wholesale Trade",0,0.3078,0.3078,0.0641,"LNDU"," Expand sustainable grazing practices"
"7150","MAR",1013,"LNDU: Expand sustainable grazing practices","Wood and Paper",0,0.0724,0.0724,0.0151,"LNDU"," Expand sustainable grazing practices"
"7151","MAR",1015,"LNDU: Rehabilitate degraded land","Agriculture",3.0491,7e-04,3.0498,0.8327,"LNDU"," Rehabilitate degraded land"
"7152","MAR",1015,"LNDU: Rehabilitate degraded land","Construction",0,0.0141,0.0141,0.0039,"LNDU"," Rehabilitate degraded land"
"7153","MAR",1015,"LNDU: Rehabilitate degraded land","Education, Health and Other Services",0,0.0115,0.0115,0.0031,"LNDU"," Rehabilitate degraded land"
"7154","MAR",1015,"LNDU: Rehabilitate degraded land","Electrical and Machinery",0,0.0062,0.0062,0.0017,"LNDU"," Rehabilitate degraded land"
"7155","MAR",1015,"LNDU: Rehabilitate degraded land","Electricity, Gas and Water",0,0.0194,0.0194,0.0053,"LNDU"," Rehabilitate degraded land"
"7156","MAR",1015,"LNDU: Rehabilitate degraded land","Financial Intermediation and Business Activities",0.2296,0.1079,0.3375,0.0921,"LNDU"," Rehabilitate degraded land"
"7157","MAR",1015,"LNDU: Rehabilitate degraded land","Fishing",0,0.002,0.002,6e-04,"LNDU"," Rehabilitate degraded land"
"7158","MAR",1015,"LNDU: Rehabilitate degraded land","Food & Beverages",0,0.011,0.011,0.003,"LNDU"," Rehabilitate degraded land"
"7159","MAR",1015,"LNDU: Rehabilitate degraded land","Hotels and Restaurants",0,0.0037,0.0037,0.001,"LNDU"," Rehabilitate degraded land"
"7160","MAR",1015,"LNDU: Rehabilitate degraded land","Maintenance and Repair",0,0.0026,0.0026,7e-04,"LNDU"," Rehabilitate degraded land"
"7161","MAR",1015,"LNDU: Rehabilitate degraded land","Metal Products",0,0.0079,0.0079,0.0022,"LNDU"," Rehabilitate degraded land"
