"","Country","Strategy_id","Strategy","Sector","Direct_Jobs","Indirect_Jobs","Total_Jobs","Total_Jobs_distribution","ssp_sector","ssp_transformation_name"
"6969","MAR",1004,"AGRC: Expand conservation agriculture","Agriculture",1.4272,0.0159,1.4431,0.3005,"AGRC"," Expand conservation agriculture"
"6970","MAR",1004,"AGRC: Expand conservation agriculture","Construction",0,0.0475,0.0475,0.0099,"AGRC"," Expand conservation agriculture"
"6971","MAR",1004,"AGRC: Expand conservation agriculture","Education, Health and Other Services",0,0.0191,0.0191,0.004,"AGRC"," Expand conservation agriculture"
"6972","MAR",1004,"AGRC: Expand conservation agriculture","Electrical and Machinery",0.7797,0.0237,0.8034,0.1673,"AGRC"," Expand conservation agriculture"
"6973","MAR",1004,"AGRC: Expand conservation agriculture","Electricity, Gas and Water",0,0.1012,0.1012,0.0211,"AGRC"," Expand conservation agriculture"
"6974","MAR",1004,"AGRC: Expand conservation agriculture","Financial Intermediation and Business Activities",0,0.3332,0.3332,0.0694,"AGRC"," Expand conservation agriculture"
"6975","MAR",1004,"AGRC: Expand conservation agriculture","Fishing",0,0.0014,0.0014,3e-04,"AGRC"," Expand conservation agriculture"
"6976","MAR",1004,"AGRC: Expand conservation agriculture","Food & Beverages",0,0.0068,0.0068,0.0014,"AGRC"," Expand conservation agriculture"
"6977","MAR",1004,"AGRC: Expand conservation agriculture","Hotels and Restaurants",0,0.0147,0.0147,0.0031,"AGRC"," Expand conservation agriculture"
"6978","MAR",1004,"AGRC: Expand conservation agriculture","Maintenance and Repair",0,0.0073,0.0073,0.0015,"AGRC"," Expand conservation agriculture"
"6979","MAR",1004,"AGRC: Expand conservation agriculture","Metal Products",0,0.1288,0.1288,0.0268,"AGRC"," Expand conservation agriculture"
"6980","MAR",1004,"AGRC: Expand conservation agriculture","Mining and Quarrying",0,0.026,0.026,0.0054,"AGRC"," Expand conservation agriculture"
"6981","MAR",1004,"AGRC: Expand conservation agriculture","Other Manufacturing",0,0.0108,0.0108,0.0022,"AGRC"," Expand conservation agriculture"
"6982","MAR",1004,"AGRC: Expand conservation agriculture","Others",0,0.004,0.004,8e-04,"AGRC"," Expand conservation agriculture"
"6983","MAR",1004,"AGRC: Expand conservation agriculture","Petroleum, Chemical and Non-Metallic Mineral Products",1.2102,0.0547,1.2649,0.2634,"AGRC"," Expand conservation agriculture"
"6984","MAR",1004,"AGRC: Expand conservation agriculture","Post and Telecommunications",0,0.0531,0.0531,0.011,"AGRC"," Expand conservation agriculture"
"6985","MAR",1004,"AGRC: Expand conservation agriculture","Private Households",0,0,0,0,"AGRC"," Expand conservation agriculture"
"6986","MAR",1004,"AGRC: Expand conservation agriculture","Public Administration",0,0.0013,0.0013,3e-04,"AGRC"," Expand conservation agriculture"
"6987","MAR",1004,"AGRC: Expand conservation agriculture","Re-export & Re-import",0,0,0,0,"AGRC"," Expand conservation agriculture"
"6988","MAR",1004,"AGRC: Expand conservation agriculture","Recycling",0,0.001,0.001,2e-04,"AGRC"," Expand conservation agriculture"
"6989","MAR",1004,"AGRC: Expand conservation agriculture","Retail Trade",0,0.0302,0.0302,0.0063,"AGRC"," Expand conservation agriculture"
"6990","MAR",1004,"AGRC: Expand conservation agriculture","Textiles and Wearing Apparel",0,0.001,0.001,2e-04,"AGRC"," Expand conservation agriculture"
"6991","MAR",1004,"AGRC: Expand conservation agriculture","Transport",0,0.1065,0.1065,0.0222,"AGRC"," Expand conservation agriculture"
"6992","MAR",1004,"AGRC: Expand conservation agriculture","Transport Equipment",0,0.017,0.017,0.0035,"AGRC"," Expand conservation agriculture"
