sector,subsector,transformer_code,transformer_name,transformer_description,transformer_unit,maximum_magnitude,strategy_PFLO_BAU,strategy_PFLO_LEDS,year
0,0,TFR:AGRC:DEC_EXPORTS,0,0,0,0,0,0,2015
0,0,TFR:AGRC:DEC_EXPORTS,0,0,0,0,0,0,2016
0,0,TFR:AGRC:DEC_EXPORTS,0,0,0,0,0,0,2017
0,0,TFR:AGRC:DEC_EXPORTS,0,0,0,0,0,0,2018
0,0,TFR:AGRC:DEC_EXPORTS,0,0,0,0,0,0,2019
0,0,TFR:AGRC:DEC_EXPORTS,0,0,0,0,0,0,2020
0,0,TFR:AGRC:DEC_EXPORTS,0,0,0,0,0,0,2021
0,0,TFR:AGRC:DEC_EXPORTS,0,0,0,0,0,0,2022
0,0,TFR:AGRC:DEC_EXPORTS,0,0,0,0,0,0,2023
0,0,TFR:AGRC:DEC_EXPORTS,0,0,0,0,0,0,2024
0,0,TFR:AGRC:DEC_EXPORTS,0,0,0,0,0,0,2025
0,0,TFR:AGRC:DEC_EXPORTS,0,0,0,0,0,0.02,2026
0,0,TFR:AGRC:DEC_EXPORTS,0,0,0,0,0,0.04,2027
0,0,TFR:AGRC:DEC_EXPORTS,0,0,0,0,0,0.06,2028
0,0,TFR:AGRC:DEC_EXPORTS,0,0,0,0,0,0.08,2029
0,0,TFR:AGRC:DEC_EXPORTS,0,0,0,0,0,0.1,2030
0,0,TFR:AGRC:DEC_EXPORTS,0,0,0,0,0,0.12,2031
0,0,TFR:AGRC:DEC_EXPORTS,0,0,0,0,0,0.14,2032
0,0,TFR:AGRC:DEC_EXPORTS,0,0,0,0,0,0.16,2033
0,0,TFR:AGRC:DEC_EXPORTS,0,0,0,0,0,0.18,2034
0,0,TFR:AGRC:DEC_EXPORTS,0,0,0,0,0,0.2,2035
0,0,TFR:AGRC:DEC_EXPORTS,0,0,0,0,0,0.22,2036
0,0,TFR:AGRC:DEC_EXPORTS,0,0,0,0,0,0.24,2037
0,0,TFR:AGRC:DEC_EXPORTS,0,0,0,0,0,0.26,2038
0,0,TFR:AGRC:DEC_EXPORTS,0,0,0,0,0,0.28,2039
0,0,TFR:AGRC:DEC_EXPORTS,0,0,0,0,0,0.3,2040
0,0,TFR:AGRC:DEC_EXPORTS,0,0,0,0,0,0.32,2041
0,0,TFR:AGRC:DEC_EXPORTS,0,0,0,0,0,0.34,2042
