strategy,main_country,country,investment_kUSD,demand_kUSD,output_kUSD,jobs,jobs_per_M_investment,jobs_per_M_output
Strategy_1004_BGR,BGR,ROW,0.0,657.8082760345661,1849.8320353943043,30.812008555270957,0.0,16.65665204500752
Strategy_1004_BGR,BGR,BGR,1000.0000000000009,333.23083004050295,540.328424985453,6.982561315908226,6.98256131590822,12.922809522923423
Strategy_1004_BGR,BGR,BLZ,0.0,0.000566891658208512,0.018920191674886074,0.00041055565132161107,0.0,21.699338906093992
Strategy_1004_BGR,BGR,EGY,0.0,5.542702659319495,11.129040535344936,2.590282109663645,0.0,232.7498135564443
Strategy_1004_BGR,BGR,LBY,0.0,0.0003303831049077078,1.9162691657720456,0.013276230125270797,0.0,6.9281656055463054
Strategy_1004_BGR,BGR,MAR,0.0,1.0113349134044765,3.7933534386140377,0.06778468082908834,0.0,17.869329058315895
Strategy_1004_BGR,BGR,MEX,0.0,0.8429857696396317,5.030652423165432,0.04924768895578986,0.0,9.789523269190955
Strategy_1004_BGR,BGR,UGA,0.0,1.562973307805182,1.748233950909923,3.3844417826227513,0.0,1935.9204074839142
Strategy_1004_BLZ,BLZ,ROW,0.0,608.130142717398,1663.461366792521,21.305203533962537,0.0,12.807753735238913
Strategy_1004_BLZ,BLZ,BGR,0.0,0.04602903001875674,0.5597331999209618,0.006620570455219173,0.0,11.828082479570702
Strategy_1004_BLZ,BLZ,BLZ,1000.0000000000009,107.86135848642532,175.19300645378294,3.1115548452814936,3.111554845281491,17.760725203961506
Strategy_1004_BLZ,BLZ,EGY,0.0,0.0105930316388877,0.5832092407228986,0.032002098821423006,0.0,54.87241385571295
Strategy_1004_BLZ,BLZ,LBY,0.0,0.0,1.1135501891747626,0.007819746298701122,0.0,7.0223564009236386
Strategy_1004_BLZ,BLZ,MAR,0.0,6.118615852053518e-05,0.6321760424213438,0.017993134815912932,0.0,28.462221926342078
Strategy_1004_BLZ,BLZ,MEX,0.0,32.52324411978953,70.69661072131183,0.625392201537962,0.0,8.846141210407907
Strategy_1004_BLZ,BLZ,UGA,0.0,0.0,0.0800393554657617,0.021794751377665476,0.0,272.3004358398236
Strategy_1004_EGY,EGY,ROW,0.0,652.4493010473559,1688.0006743555864,28.722821549969257,0.0,17.015882745979663
Strategy_1004_EGY,EGY,BGR,0.0,9.928208477789909,13.582410065608407,0.09663369201663038,0.0,7.114620420812762
Strategy_1004_EGY,EGY,BLZ,0.0,0.0005280498810852315,0.018382416035166157,0.0003713152507786056,0.0,20.19948031141649
Strategy_1004_EGY,EGY,EGY,1000.0000000000009,323.64612221527693,471.4891158894856,20.925775441372572,20.925775441372554,44.38230859665795
Strategy_1004_EGY,EGY,LBY,0.0,3.688630225106172,5.327094903208259,0.6745126177728971,0.0,126.61922305282562
Strategy_1004_EGY,EGY,MAR,0.0,8.185692012814648,9.955769060087695,2.5417474064128283,0.0,255.3039741151287
Strategy_1004_EGY,EGY,MEX,0.0,2.054865706948351,7.321355106416137,0.06732485408476814,0.0,9.195682097944871
Strategy_1004_EGY,EGY,UGA,0.0,0.046652264827849926,0.13075120858733877,0.12926964545636097,0.0,988.6688379634505
Strategy_1004_LBY,LBY,ROW,0.0,536.046053145968,1552.561702772798,26.227002082512108,0.0,16.892727700079156
Strategy_1004_LBY,LBY,BGR,0.0,0.7968354217259944,2.069062213731387,0.03370765803912519,0.0,16.291273319585756
Strategy_1004_LBY,LBY,BLZ,0.0,0.0,0.01671272000216918,0.000354440159758029,0.0,21.20780816719394
Strategy_1004_LBY,LBY,EGY,0.0,126.16300527758449,188.47495161573522,13.822791459193445,0.0,73.34020431200588
Strategy_1004_LBY,LBY,LBY,1000.0000000000009,262.882888001491,638.8753215598159,64.15510986716235,64.1551098671623,100.41882618118268
Strategy_1004_LBY,LBY,MAR,0.0,5.316998451125366,8.117410374575297,1.3816560401943674,0.0,170.20896769268683
Strategy_1004_LBY,LBY,MEX,0.0,5.91419708131242,11.577834337175332,0.28790740726711317,0.0,24.8671209902071
Strategy_1004_LBY,LBY,UGA,0.0,0.022879763650705442,0.09182024250285553,0.07497934316794382,0.0,816.5883809946594
Strategy_1004_MAR,MAR,ROW,0.0,634.6174131254071,1692.7575708417576,29.64176497785826,0.0,17.510933336495608
Strategy_1004_MAR,MAR,BGR,0.0,1.7240874719188612,3.1236026746912633,0.057280224737655,0.0,18.33787158711425
Strategy_1004_MAR,MAR,BLZ,0.0,0.0009606383542736179,0.01679600022901752,0.0003850143464103542,0.0,22.92297815912066
Strategy_1004_MAR,MAR,EGY,0.0,15.2850152492001,23.67950174285955,2.6827127813414986,0.0,113.29261951850228
Strategy_1004_MAR,MAR,LBY,0.0,0.2985820382053051,2.5154121216768033,0.033277408817100576,0.0,13.229406239371011
Strategy_1004_MAR,MAR,MAR,1000.0000000000009,324.44403595839924,427.04594835520095,12.632268618596541,12.63226861859653,29.580584167232256
Strategy_1004_MAR,MAR,MEX,0.0,1.8435000708857183,5.956897868419905,0.05957069910826412,0.0,10.000288812080225
Strategy_1004_MAR,MAR,UGA,0.0,0.8340244952492876,0.9263979106431129,1.900403859202831,0.0,2051.3904849845303
Strategy_1004_MEX,MEX,ROW,0.0,840.3603265632039,2027.204374045114,33.80150573039077,0.0,16.673950669780144
Strategy_1004_MEX,MEX,BGR,0.0,2.210733358229095,3.6117714761967132,0.06703236869204793,0.0,18.559415825121558
Strategy_1004_MEX,MEX,BLZ,0.0,0.00955895880558241,0.02834952453740438,0.0005191873997575623,0.0,18.313795671336432
Strategy_1004_MEX,MEX,EGY,0.0,0.6371476728404817,1.5930967687354676,0.1458160381083933,0.0,91.52993149570936
Strategy_1004_MEX,MEX,LBY,0.0,6.8270915763053445e-06,1.2411141247654265,0.008687729396046465,0.0,6.99994402020722
Strategy_1004_MEX,MEX,MAR,0.0,0.6043557823689957,2.18463064528138,0.04871368408402955,0.0,22.2983615968434
Strategy_1004_MEX,MEX,MEX,1000.0000000000009,135.22536258992156,204.248766439257,1.0133523898566414,1.0133523898566406,4.961363574051301
Strategy_1004_MEX,MEX,UGA,0.0,0.00012729515882440635,0.09496283731781907,0.027821983371045206,0.0,292.97759162282966
Strategy_1004_UGA,UGA,ROW,0.0,595.2529251270026,1577.6704609350631,27.601665647819672,0.0,17.495203422557935
Strategy_1004_UGA,UGA,BGR,0.0,0.3761109956943316,0.9834641370000116,0.012595195815863838,0.0,12.806970119199875
Strategy_1004_UGA,UGA,BLZ,0.0,0.0,0.017819471927934087,0.000372566424164238,0.0,20.907826318926823
Strategy_1004_UGA,UGA,EGY,0.0,25.807316098274633,38.493012566572396,3.7783137965973523,0.0,98.15583516782127
Strategy_1004_UGA,UGA,LBY,0.0,0.0024797451140230937,1.1608589750489093,0.008012341586043255,0.0,6.90208006162478
Strategy_1004_UGA,UGA,MAR,0.0,0.643549470539563,1.6561110058436332,0.03772741776528518,0.0,22.780730055028286
