strategy,main_country,total_investment_kUSD,total_demand_kUSD,total_output_kUSD,total_jobs,jobs_per_M_investment,output_multiplier
Strategy_1004_BGR,BGR,1000.0000000000009,1000.0000000000009,2413.7969300852387,43.900012919027056,43.90001291902702,2.4137969300852364
Strategy_1004_BLZ,BLZ,1000.0000000000009,748.571428571429,1912.3196919953214,25.128380882550914,25.128380882550893,2.55462554274184
Strategy_1004_EGY,EGY,1000.0000000000009,1000.0000000000009,2195.825553005015,53.158456522336095,53.158456522336046,2.195825553005013
Strategy_1004_LBY,LBY,1000.0000000000009,937.142857142858,2401.7848158363363,105.9835082976962,105.9835082976961,2.5628801388497466
Strategy_1004_MAR,MAR,1000.0000000000009,979.04761904762,2156.022127515478,47.00766358400856,47.00766358400852,2.202162678882539
Strategy_1004_MEX,MEX,1000.0000000000009,979.04761904762,2240.207065861205,35.113449111298735,35.113449111298706,2.288149240422435
Strategy_1004_UGA,UGA,1000.0000000000009,895.2380952380961,1970.096127834581,135.55947651247294,135.55947651247283,2.200639291730115
Strategy_1005_BGR,BGR,1000.0000000000011,1000.0000000000011,2462.7724939739087,40.14085551107041,40.14085551107037,2.462772493973906
Strategy_1005_BLZ,BLZ,1000.0000000000011,777.142857142858,2033.1102079262814,27.21685550158571,27.216855501585677,2.616134458728668
Strategy_1005_EGY,EGY,1000.0000000000011,1000.0000000000014,2284.1076938680203,48.10449634736882,48.104496347368766,2.2841076938680174
Strategy_1005_LBY,LBY,1000.0000000000011,944.2857142857154,3022.2265554794644,97.56369903656729,97.56369903656717,3.200542494456313
Strategy_1005_MAR,MAR,1000.0000000000011,981.4285714285726,2196.2598345920633,42.34057447732442,42.34057447732437,2.2378193365566847
Strategy_1005_MEX,MEX,1000.0000000000011,974.761904761906,2235.7926733848444,31.562563590431434,31.5625635904314,2.2936808080645665
Strategy_1005_UGA,UGA,1000.0000000000011,893.8095238095248,1942.7999701536207,149.61529432873067,149.6152943287305,2.1736174413013316
Strategy_1006_BGR,BGR,1000.0000000000011,1000.0000000000011,2462.7724939739087,40.14085551107041,40.14085551107037,2.462772493973906
Strategy_1006_BLZ,BLZ,1000.0000000000011,777.142857142858,2033.1102079262814,27.21685550158571,27.216855501585677,2.616134458728668
Strategy_1006_EGY,EGY,1000.0000000000011,1000.0000000000014,2284.1076938680203,48.10449634736882,48.104496347368766,2.2841076938680174
Strategy_1006_LBY,LBY,1000.0000000000011,944.2857142857154,3022.2265554794644,97.56369903656729,97.56369903656717,3.200542494456313
Strategy_1006_MAR,MAR,1000.0000000000011,981.4285714285726,2196.2598345920633,42.34057447732442,42.34057447732437,2.2378193365566847
Strategy_1006_MEX,MEX,1000.0000000000011,974.761904761906,2235.7926733848444,31.562563590431434,31.5625635904314,2.2936808080645665
Strategy_1006_UGA,UGA,1000.0000000000011,893.8095238095248,1942.7999701536207,149.61529432873067,149.6152943287305,2.1736174413013316
Strategy_1007_BGR,BGR,1000.0000000000018,1000.0000000000015,2406.610902255088,44.08764805659227,44.087648056592194,2.4066109022550846
Strategy_1007_BLZ,BLZ,1000.0000000000018,748.5714285714295,1904.2204339472632,24.73910914289853,24.73910914289849,2.54380592321199
Strategy_1007_EGY,EGY,1000.0000000000018,1000.0000000000016,2184.9082569298553,53.40711079224337,53.40711079224328,2.1849082569298517
Strategy_1007_LBY,LBY,1000.0000000000018,937.1428571428585,2305.587118171051,105.89527356804464,105.89527356804446,2.4602301565849594
Strategy_1007_MAR,MAR,1000.0000000000018,979.0476190476204,2154.593472589149,47.26834588673106,47.26834588673098,2.2007034496289912
Strategy_1007_MEX,MEX,1000.0000000000018,979.0476190476204,2242.7583630362037,35.37113000480197,35.371130004801905,2.2907551373424226
Strategy_1007_UGA,UGA,1000.0000000000018,895.2380952380963,1979.109152333247,131.34675471350053,131.3467547135003,2.210707031861603
Strategy_1010_BGR,BGR,999.9999999999995,999.9999999999995,2222.5485026574593,72.8414206473059,72.84142064730592,2.2225485026574603
Strategy_1010_BLZ,BLZ,999.9999999999995,428.57142857142844,928.6386863562802,27.955825899990423,27.955825899990433,2.166823601497988
Strategy_1010_EGY,EGY,999.9999999999995,999.9999999999995,1849.979142676475,91.30697730906516,91.3069773090652,1.8499791426764758
Strategy_1010_LBY,LBY,999.9999999999995,857.1428571428567,1458.6470376230452,199.4931960509501,199.4931960509502,1.7017548772268871
Strategy_1010_MAR,MAR,999.9999999999995,952.3809523809521,1702.9139060606703,81.38405490871187,81.38405490871192,1.7880596013637045
Strategy_1010_MEX,MEX,999.9999999999995,952.380952380952,1852.2675029638242,57.06899177276354,57.06899177276357,1.9448808781120164
Strategy_1010_UGA,UGA,999.9999999999995,761.9047619047617,1260.640689757357,237.99749741009353,237.99749741009364,1.6545909053065315
Strategy_1011_BGR,BGR,1000.0000000000009,1000.0000000000009,2413.7969300852387,43.900012919027056,43.90001291902702,2.4137969300852364
Strategy_1011_BLZ,BLZ,1000.0000000000009,748.571428571429,1912.3196919953214,25.128380882550914,25.128380882550893,2.55462554274184
Strategy_1011_EGY,EGY,1000.0000000000009,1000.0000000000009,2195.825553005015,53.158456522336095,53.158456522336046,2.195825553005013
Strategy_1011_LBY,LBY,1000.0000000000009,937.142857142858,2401.7848158363363,105.9835082976962,105.9835082976961,2.5628801388497466
Strategy_1011_MAR,MAR,1000.0000000000009,979.04761904762,2156.022127515478,47.00766358400856,47.00766358400852,2.202162678882539
Strategy_1011_MEX,MEX,1000.0000000000009,979.04761904762,2240.207065861205,35.113449111298735,35.113449111298706,2.288149240422435
Strategy_1011_UGA,UGA,1000.0000000000009,895.2380952380961,1970.096127834581,135.55947651247294,135.55947651247283,2.200639291730115
Strategy_1013_BGR,BGR,1000.0000000000009,1000.0000000000009,2413.7969300852387,43.900012919027056,43.90001291902702,2.4137969300852364
Strategy_1013_BLZ,BLZ,1000.0000000000009,748.571428571429,1912.3196919953214,25.128380882550914,25.128380882550893,2.55462554274184
Strategy_1013_EGY,EGY,1000.0000000000009,1000.0000000000009,2195.825553005015,53.158456522336095,53.158456522336046,2.195825553005013
Strategy_1013_LBY,LBY,1000.0000000000009,937.142857142858,2401.7848158363363,105.9835082976962,105.9835082976961,2.5628801388497466
Strategy_1013_MAR,MAR,1000.0000000000009,979.04761904762,2156.022127515478,47.00766358400856,47.00766358400852,2.202162678882539
Strategy_1013_MEX,MEX,1000.0000000000009,979.04761904762,2240.207065861205,35.113449111298735,35.113449111298706,2.288149240422435
Strategy_1013_UGA,UGA,1000.0000000000009,895.2380952380961,1970.096127834581,135.55947651247294,135.55947651247283,2.200639291730115
