Sector 55 (MEX) converts to:
------------------------------------------------------------
 TRAD_COMM  input_coeff
        91     0.400930
        86     0.155150
        85     0.137860
       101     0.118090
        98     0.048225
        99     0.048225
        90     0.031880
        87     0.018830
       114     0.018820
        92     0.011190
       113     0.006820
        71     0.001460
        72     0.001460
        59     0.001060

Sector 89 (MEX) converts to:
------------------------------------------------------------
 TRAD_COMM  input_coeff
        86     0.204070
        91     0.184060
        90     0.152370
       101     0.121850
        99     0.087830
        98     0.087830
       114     0.060570
        92     0.035130
        85     0.025340
       113     0.023310
        87     0.014270
        71     0.001015
        72     0.001015
        59     0.000880
       107     0.000450

Sector 90 (MEX) converts to:
------------------------------------------------------------
 TRAD_COMM  input_coeff
        86     0.453260
       101     0.114600
        91     0.092400
        87     0.067860
        99     0.055435
        98     0.055435
       114     0.055290
        90     0.046320
       113     0.030620
        85     0.026960
       107     0.001140
        72     0.000340
        71     0.000340

